seed,update,parameter_id,parameter_name,shape,k,residual_bits,persistent_bits,ratio_vs_fp32,compression_ratio,payload_bits,scale_metadata_bits
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,512,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,512,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,512,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,512,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,512,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,512,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,512,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,512,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,512,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,512,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,512,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,512,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,512,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,512,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,512,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,1024,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,1024,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,1024,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,1024,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,1024,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,1024,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,1024,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,1024,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,1024,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,1024,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,1024,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,1024,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,1024,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,1024,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,1024,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,1024,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",4,3,1432536,0.10119798448350695,9.881619728928278,1327104,7064
0,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",4,4,1874904,0.13244798448350695,7.550133766848862,1769472,7064
0,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",8,3,1530904,0.10814695005063657,9.24667777992611,1327104,7064
0,1024,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",8,4,1973272,0.13939695005063657,7.1737581032924,1769472,7064
0,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",4,3,494040,0.10470072428385417,9.551032305076513,442368,2456
0,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",4,4,641496,0.13595072428385416,7.355606270343073,589824,2456
0,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",8,3,543256,0.1151309543185764,8.685761408985819,442368,2456
0,1024,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",8,4,690712,0.1463809543185764,6.831489824992182,589824,2456
0,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
0,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",4,3,1276120,0.10141690572102864,9.860289001034385,1179648,6296
0,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",4,4,1669336,0.13266690572102866,7.537674859944313,1572864,6296
0,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",8,3,1366296,0.10858345031738281,9.209506578369549,1179648,6296
0,1024,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",8,4,1759512,0.1398334503173828,7.1513646965749595,1572864,6296
